Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
261190 Rio Formoso;3;20;41;30;27;25;27;43;34;30;19;24;23;11;9;3;3;3;0;375
261200 Sairé;6;16;21;21;20;21;29;22;30;34;30;20;23;14;10;8;8;7;0;340
261210 Salgadinho;0;2;2;1;1;2;4;2;0;2;2;2;3;0;2;1;0;1;0;27
261220 Salgueiro;43;203;176;147;135;155;202;301;264;152;163;134;113;101;69;59;66;87;0;2.570
261230 Saloá;1;1;6;5;2;3;9;13;7;5;4;2;3;2;1;2;0;1;0;67
261240 Sanharó;6;29;48;38;32;21;34;30;27;20;28;18;20;15;14;6;5;3;0;394
261245 Santa Cruz;4;18;15;13;9;12;10;11;27;15;9;2;4;5;3;0;0;0;0;157
261247 Santa Cruz da Baixa Verde;0;1;3;3;4;4;8;3;5;5;2;3;3;1;0;0;0;0;0;45
261250 Santa Cruz do Capibaribe;106;655;682;552;485;488;603;761;662;507;407;272;233;157;124;69;55;58;0;6.876
261255 Santa Filomena;0;6;1;5;0;0;3;10;8;1;0;0;0;0;0;0;0;0;0;34
261260 Santa Maria da Boa Vista;16;109;135;92;70;54;87;107;140;142;111;92;58;33;39;25;23;27;0;1.360
261270 Santa Maria do Cambucá;1;13;15;8;8;3;13;9;11;5;5;7;4;1;3;0;0;0;0;106
261280 Santa Terezinha;1;6;6;8;4;3;8;12;6;6;2;3;4;4;1;2;0;0;0;76
261290 São Benedito do Sul;0;6;4;4;7;6;7;12;3;6;3;6;4;2;0;0;0;0;0;70
261300 São Bento do Una;14;109;105;86;60;79;111;148;158;121;104;84;92;46;43;24;16;23;0;1.423
261310 São Caitano;23;147;127;104;93;77;122;132;120;96;75;61;42;31;30;15;11;14;0;1.320
261320 São João;2;24;14;10;8;16;26;18;17;23;13;18;10;9;7;5;2;2;0;224
261330 São Joaquim do Monte;3;26;26;11;12;15;15;22;28;19;9;9;9;4;4;4;2;6;0;224
261340 São José da Coroa Grande;1;29;27;27;29;24;33;39;30;29;25;22;25;19;14;8;7;16;0;404
261350 São José do Belmonte;3;23;24;19;20;34;61;74;48;27;36;20;21;18;17;8;10;13;0;476
261360 São José do Egito;4;17;41;35;22;26;42;44;51;31;19;22;29;27;19;19;8;15;0;471
261370 São Lourenço da Mata;212;875;837;597;637;932;1.181;1.322;1.137;818;667;512;390;256;173;94;75;70;0;10.785
261380 São Vicente Ferrer;0;6;14;13;13;11;8;18;18;16;16;12;15;9;5;2;1;6;0;183
261390 Serra Talhada;39;259;258;217;235;324;485;505;485;412;288;237;189;139;81;65;58;75;0;4.351
261400 Serrita;0;8;8;6;5;10;4;12;9;5;6;7;9;5;2;2;2;3;0;103
261410 Sertânia;11;71;113;78;51;50;63;84;87;62;52;45;45;32;29;25;22;25;0;945
261420 Sirinhaém;6;33;46;43;37;30;39;55;45;26;21;21;20;11;4;8;7;6;0;458
261440 Solidão;0;3;0;4;3;1;0;2;2;2;3;1;1;2;0;0;0;0;0;24
261450 Surubim;19;124;159;139;161;153;190;235;209;179;155;125;90;86;64;62;46;51;0;2.247
261460 Tabira;5;11;23;16;16;24;17;23;26;23;17;17;11;8;7;4;3;5;0;256
261470 Tacaimbó;3;32;27;20;13;13;22;31;24;19;9;10;2;6;6;3;4;3;0;247
261480 Tacaratu;0;3;4;5;7;9;12;16;5;5;8;14;14;4;4;3;0;7;0;120
261485 Tamandaré;5;35;35;26;30;14;34;45;42;27;26;45;28;30;23;19;7;7;0;478
261500 Taquaritinga do Norte;7;56;54;41;27;32;45;43;44;18;19;19;27;22;11;10;3;4;0;482
261510 Terezinha;0;1;3;5;1;2;3;4;7;2;0;2;3;0;0;0;1;1;0;35
261520 Terra Nova;0;4;2;2;7;8;6;9;10;7;5;4;3;4;1;1;0;3;0;76
261530 Timbaúba;21;97;126;98;94;93;155;203;135;107;116;134;112;70;78;42;34;62;0;1.777
261540 Toritama;68;345;332;287;243;280;298;331;263;213;166;97;76;55;44;27;12;3;0;3.140
261550 Tracunhaém;0;5;10;9;4;5;11;16;18;7;3;3;7;6;2;1;2;2;0;111
261560 Trindade;4;19;28;22;18;22;38;32;41;21;11;27;14;12;5;4;3;1;0;322
261570 Triunfo;2;14;23;17;15;28;46;55;44;34;27;24;16;19;13;9;7;4;0;397
261580 Tupanatinga;5;42;53;48;34;37;42;49;39;46;28;23;9;13;2;1;0;1;0;472
261590 Tuparetama;2;4;9;16;7;5;13;12;14;11;2;5;1;6;5;1;2;0;0;115
261600 Venturosa;1;16;9;14;11;10;13;18;18;11;13;12;10;3;10;6;3;3;0;181
261610 Verdejante;0;6;6;5;3;0;3;11;7;4;4;6;1;1;0;0;2;2;0;61
261618 Vertente do Lério;0;1;1;2;3;2;4;3;5;1;1;0;2;2;0;3;0;0;0;30
261620 Vertentes;3;47;41;32;19;22;31;26;43;26;19;20;10;9;5;7;9;9;0;378
