Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
 TOTAL;610.120;2.858.947;3.117.495;2.689.762;2.715.323;3.353.024;4.248.129;4.967.212;4.802.252;3.700.092;3.108.200;2.869.217;2.373.510;1.878.904;1.426.778;1.032.021;773.044;1.081.519;792;47.606.341
110001 Alta Floresta D'Oeste;10;96;107;82;75;120;185;179;162;133;118;111;90;73;54;40;16;14;0;1.665
110037 Alto Alegre dos Parecis;3;10;6;3;7;9;19;13;12;12;7;12;4;4;1;0;0;2;0;124
110040 Alto Paraíso;5;30;35;21;23;27;40;35;36;24;33;28;22;8;2;4;1;0;0;374
110034 Alvorada D'Oeste;7;45;41;45;44;63;69;63;56;52;57;41;42;22;16;5;1;3;0;672
110002 Ariquemes;115;480;419;461;457;563;853;849;776;544;481;567;436;331;189;137;69;74;0;7.801
110045 Buritis;9;52;48;42;38;60;78;83;74;35;47;32;33;22;12;8;8;0;0;681
110003 Cabixi;4;8;14;9;18;9;23;24;28;24;19;19;12;2;2;2;1;0;0;218
110060 Cacaulândia;5;8;6;2;7;7;15;25;12;7;14;9;8;5;0;2;0;1;0;133
110004 Cacoal;123;484;495;385;415;575;848;932;756;558;538;548;502;365;197;120;88;73;0;8.002
110070 Campo Novo de Rondônia;2;5;4;7;2;5;11;13;15;5;7;5;1;3;0;0;0;0;0;85
110080 Candeias do Jamari;5;51;53;44;28;59;49;64;54;39;26;32;23;12;20;9;6;5;0;579
110090 Castanheiras;3;3;2;4;2;5;4;9;4;5;6;5;3;1;1;0;0;1;0;58
110005 Cerejeiras;15;47;47;33;42;66;115;77;67;46;54;43;44;29;8;7;7;5;0;752
110092 Chupinguaia;5;17;9;8;9;9;19;23;22;11;9;6;4;7;0;0;2;2;0;162
110006 Colorado do Oeste;21;89;80;70;56;78;122;150;111;90;82;83;63;45;31;12;7;9;0;1.199
110007 Corumbiara;2;8;9;10;11;9;17;19;8;10;11;12;6;7;1;0;0;0;0;140
110008 Costa Marques;4;18;21;19;26;15;32;33;25;15;30;28;22;20;5;5;6;0;0;324
110094 Cujubim;5;9;19;15;12;15;21;21;19;21;14;16;9;6;4;4;1;1;0;212
110009 Espigão D'Oeste;25;89;113;73;75;131;195;214;146;113;123;114;104;62;30;19;17;13;0;1.656
110100 Governador Jorge Teixeira;0;4;5;1;5;5;9;8;9;4;11;10;2;3;2;0;0;0;0;78
110010 Guajará-Mirim;23;116;138;137;139;119;158;184;207;129;135;178;148;162;107;78;55;69;0;2.282
110110 Itapuã do Oeste;7;32;59;45;28;57;46;67;53;35;29;29;27;21;6;0;4;7;0;552
110011 Jaru;40;180;187;145;160;258;359;389;270;256;235;208;184;119;65;44;17;19;0;3.135
110012 Ji-Paraná;230;975;937;824;781;973;1.450;1.463;1.334;964;858;909;819;545;390;222;144;181;0;13.999
110013 Machadinho D'Oeste;9;39;46;45;40;51;83;86;61;53;50;58;39;29;13;6;1;1;0;710
110120 Ministro Andreazza;1;10;14;6;9;17;23;26;13;5;11;8;10;7;2;2;1;1;0;166
110130 Mirante da Serra;7;26;24;16;21;14;28;24;42;23;18;16;17;8;6;1;1;1;0;293
110140 Monte Negro;5;20;7;5;7;20;27;23;17;16;9;9;13;9;5;2;0;0;0;194
110014 Nova Brasilândia D'Oeste;5;30;18;19;16;34;53;50;40;28;24;38;20;12;6;5;3;5;0;406
110033 Nova Mamoré;7;26;28;32;27;28;37;47;31;39;24;23;19;12;3;6;1;1;0;391
110143 Nova União;3;6;6;6;4;5;3;7;9;8;5;4;8;4;1;0;1;1;0;81
110050 Novo Horizonte do Oeste;3;13;14;9;11;10;14;24;16;16;15;15;11;9;1;2;0;1;0;184
110015 Ouro Preto do Oeste;47;180;201;163;171;165;280;284;276;187;217;239;227;150;94;72;38;36;0;3.027
110145 Parecis;0;5;6;6;4;6;8;9;6;8;5;4;6;2;3;0;0;0;0;78
110018 Pimenta Bueno;61;236;248;175;176;244;367;391;321;236;215;241;231;180;103;46;27;40;0;3.538
110146 Pimenteiras do Oeste;0;1;2;3;2;0;1;5;5;5;0;2;6;1;0;0;1;1;0;35
110020 Porto Velho;1.278;5.463;5.901;4.629;4.862;6.333;8.509;9.051;7.738;5.933;5.279;5.717;5.124;3.791;2.536;1.552;1.159;1.591;0;86.446
110025 Presidente Médici;14;86;85;82;87;100;117;116;137;99;99;102;99;72;45;18;8;12;0;1.378
110147 Primavera de Rondônia;1;10;7;2;3;4;15;21;10;6;8;6;6;2;2;1;0;1;0;105
110026 Rio Crespo;1;9;6;4;3;9;12;12;12;5;9;7;3;2;4;0;0;1;0;99
110028 Rolim de Moura;62;189;196;164;117;196;310;381;322;207;180;202;190;98;65;35;20;17;0;2.951
110029 Santa Luzia D'Oeste;5;11;20;18;12;19;26;23;16;16;25;27;16;9;3;0;0;2;0;248
110148 São Felipe D'Oeste;2;9;7;8;8;11;20;19;13;12;19;10;5;3;0;0;1;0;0;147
110149 São Francisco do Guaporé;4;18;14;9;6;26;28;33;24;15;11;15;9;4;5;3;0;1;0;225
110032 São Miguel do Guaporé;6;35;36;23;33;34;66;77;39;31;22;23;20;9;2;9;4;1;0;470
110150 Seringueiras;4;17;14;11;11;17;30;31;22;15;18;19;10;6;2;0;0;0;0;227
110155 Teixeirópolis;1;15;8;5;9;11;7;12;7;12;8;8;9;2;2;0;0;0;0;116
110160 Theobroma;4;13;7;8;8;13;15;15;9;10;16;16;12;3;2;2;4;0;0;157
110170 Urupá;5;24;21;18;24;25;41;50;28;38;25;27;16;11;7;4;1;0;0;365
110175 Vale do Anari;2;6;9;11;6;6;12;6;9;13;7;2;3;4;4;0;0;0;0;100
110180 Vale do Paraíso;3;13;13;9;6;13;9;18;15;12;7;9;7;3;4;2;0;2;0;145
110030 Vilhena;189;696;709;599;627;917;1.217;1.299;1.053;857;744;661;532;435;258;192;95;91;0;11.171
110000 Município ignorado - RO;0;2;1;1;1;2;1;1;3;2;3;2;1;1;0;0;0;1;0;22
120001 Acrelândia;2;6;12;13;7;17;16;12;24;7;10;9;8;5;5;4;0;4;0;161
120005 Assis Brasil;0;5;5;9;6;3;8;4;13;4;2;9;3;2;0;0;0;0;0;73
120010 Brasiléia;0;10;18;19;7;12;15;12;27;16;10;10;9;11;8;4;1;1;0;190
120013 Bujari;1;14;9;13;6;2;5;7;13;7;1;1;0;2;3;2;2;0;0;88
120017 Capixaba;0;4;4;1;1;5;9;3;2;0;3;1;3;0;1;1;0;0;0;38
120020 Cruzeiro do Sul;8;60;87;56;49;61;103;134;118;65;59;57;39;18;26;32;11;7;0;990
120025 Epitaciolândia;3;10;12;12;6;13;18;26;16;5;5;8;4;3;2;2;1;0;0;146
120030 Feijó;0;6;10;12;10;13;15;21;19;5;7;9;10;2;2;7;4;1;0;153
120032 Jordão;0;2;2;2;4;23;32;47;115;122;222;351;443;389;294;386;492;766;0;3.692
120033 Mâncio Lima;0;4;6;7;1;4;7;3;3;3;2;0;1;3;0;0;0;1;0;45
120034 Manoel Urbano;2;1;4;1;2;2;6;4;4;0;2;0;0;2;1;0;2;0;0;33
120035 Marechal Thaumaturgo;0;0;2;3;2;2;3;4;3;0;0;0;2;0;0;0;0;0;0;21
120038 Plácido de Castro;3;9;4;9;7;4;12;18;8;3;4;8;9;2;4;2;0;1;0;107
120080 Porto Acre;0;6;8;7;1;0;3;11;8;5;0;1;4;4;1;0;0;1;0;60
120039 Porto Walter;0;0;2;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;9
120040 Rio Branco;566;2.686;2.877;2.613;2.692;3.374;3.348;3.688;3.568;2.772;2.419;2.506;2.188;1.997;1.537;984;690;822;0;41.327
120042 Rodrigues Alves;1;1;0;2;0;0;2;1;2;0;0;1;2;1;1;0;2;1;0;17
120043 Santa Rosa do Purus;0;2;1;0;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0;8
120050 Sena Madureira;5;20;20;21;14;15;26;26;20;11;13;19;11;16;6;9;2;2;0;256
120045 Senador Guiomard;2;26;38;26;16;16;27;18;21;15;13;11;10;7;6;7;3;2;0;264
120060 Tarauacá;1;14;16;11;17;13;22;20;16;8;6;14;10;9;5;2;0;4;0;188
120070 Xapuri;2;11;9;7;7;6;8;11;12;2;2;6;11;5;4;1;3;1;0;108
120000 Município ignorado - AC;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3
130002 Alvarães;0;3;1;10;7;6;22;36;20;7;6;7;7;5;13;4;1;23;0;178
130006 Amaturá;1;0;2;2;2;4;2;1;1;2;0;2;3;1;0;0;0;0;0;23
130008 Anamã;1;2;6;3;7;9;0;1;6;6;5;0;0;2;2;2;1;1;0;54
130010 Anori;1;1;2;5;5;1;3;3;3;3;1;1;1;0;1;0;0;0;0;31
130014 Apuí;1;2;5;3;10;9;11;6;3;9;10;10;5;4;1;0;1;0;0;90
130020 Atalaia do Norte;0;7;7;5;3;0;1;2;9;7;3;2;1;1;1;0;0;0;0;49
130030 Autazes;1;4;12;11;9;11;8;12;8;10;8;5;6;5;4;4;1;2;0;121
130040 Barcelos;0;5;3;6;11;5;8;6;6;6;2;2;2;4;2;0;0;1;0;69
130050 Barreirinha;0;2;1;1;1;2;4;5;2;2;0;0;1;1;0;0;0;0;0;22
130060 Benjamin Constant;1;8;15;17;15;16;7;10;14;21;18;12;8;5;5;6;4;3;0;185
130063 Beruri;0;3;3;4;4;14;9;2;1;5;7;2;3;1;1;2;2;5;0;68
130068 Boa Vista do Ramos;1;4;2;1;4;4;7;4;1;0;1;2;2;3;0;1;0;0;0;37
130070 Boca do Acre;2;9;3;8;14;13;16;6;12;7;6;15;16;11;6;4;2;2;0;152
130080 Borba;0;6;9;6;9;8;7;11;9;9;5;8;3;5;2;7;1;1;0;106
130083 Caapiranga;1;3;5;4;3;4;6;5;5;2;0;4;5;3;0;0;0;3;0;53
130090 Canutama;1;4;6;9;9;10;7;9;7;5;6;3;3;3;1;0;1;0;0;84
130100 Carauari;4;17;40;44;35;28;43;41;38;24;21;19;18;13;4;2;0;1;0;392
130110 Careiro;0;3;9;9;8;14;11;7;5;7;7;11;5;2;2;0;2;0;0;102
130115 Careiro da Várzea;0;2;3;2;8;4;10;0;4;5;4;0;0;3;0;2;1;1;0;49
130120 Coari;11;28;84;54;57;30;67;110;101;68;39;39;12;15;6;4;2;4;0;731
130130 Codajás;1;7;11;14;22;16;15;7;7;16;15;6;6;5;1;3;0;2;0;154
130140 Eirunepé;0;7;9;7;13;8;13;11;13;9;7;9;9;14;2;5;1;1;0;138
130150 Envira;0;5;2;7;7;8;2;2;6;6;1;1;4;4;3;0;2;3;0;63
130160 Fonte Boa;0;5;3;3;6;1;8;4;6;4;3;0;1;0;2;1;0;0;0;47
130165 Guajará;0;1;0;1;4;2;0;3;3;0;2;2;1;1;1;0;0;0;0;21
130170 Humaitá;9;46;42;46;55;54;57;71;74;66;52;41;37;28;16;9;5;3;0;711
130180 Ipixuna;1;2;3;5;5;15;9;8;3;4;5;9;6;6;0;2;0;0;0;83
130185 Iranduba;4;23;38;24;26;39;32;40;38;40;27;19;13;13;5;7;0;1;0;389
130190 Itacoatiara;35;78;96;102;98;103;122;137;161;140;94;86;81;46;33;21;28;24;0;1.485
130195 Itamarati;0;0;2;0;2;1;4;2;1;0;1;0;0;0;0;0;0;0;0;13
130200 Itapiranga;0;3;1;6;2;6;10;2;4;2;1;1;9;4;3;0;1;4;0;59
130210 Japurá;0;1;1;4;2;0;1;2;3;1;1;2;0;3;1;0;0;0;0;22
130220 Juruá;0;0;1;0;0;3;1;1;2;1;0;1;0;0;0;2;0;1;0;13
130230 Jutaí;0;6;4;4;2;10;14;6;1;2;7;4;1;3;3;2;0;2;0;71
130240 Lábrea;3;17;7;15;18;17;27;21;29;10;14;10;9;9;7;1;2;1;0;217
130250 Manacapuru;2;35;66;69;50;52;65;65;80;74;52;45;32;23;13;11;16;4;0;754
130255 Manaquiri;0;2;1;3;8;6;9;1;4;6;7;7;5;1;2;4;1;2;0;69
130260 Manaus;7.926;37.681;42.925;35.964;34.127;42.487;51.624;62.199;57.961;43.755;33.432;26.704;18.940;12.415;8.654;5.251;3.840;5.169;1;531.055
130270 Manicoré;2;5;13;9;10;8;11;10;24;7;5;8;8;6;4;4;2;0;0;136
130280 Maraã;0;0;0;1;2;5;4;1;0;0;3;1;4;1;0;0;0;2;0;24
130290 Maués;4;22;29;25;35;36;47;31;32;31;28;24;36;13;9;8;8;13;0;431
130300 Nhamundá;0;2;0;2;1;3;6;1;7;0;0;2;0;2;2;0;0;0;0;28
130310 Nova Olinda do Norte;1;6;6;3;6;4;6;7;10;3;5;3;2;3;2;2;1;1;0;71
130320 Novo Airão;1;1;6;7;8;8;13;4;10;7;9;7;10;7;1;1;0;1;0;101
130330 Novo Aripuanã;0;3;2;7;9;14;9;3;3;4;9;5;1;1;2;3;0;1;0;76
130340 Parintins;7;30;50;53;49;64;65;77;60;68;58;51;51;47;35;21;13;14;0;813
130350 Pauini;0;4;2;4;2;3;5;5;6;1;0;0;1;2;0;0;0;0;0;35
130353 Presidente Figueiredo;11;50;61;62;69;68;82;76;99;62;43;63;39;34;17;11;3;1;0;851
130356 Rio Preto da Eva;2;16;17;18;21;9;9;18;17;17;13;10;8;4;3;4;1;0;0;187
130360 Santa Isabel do Rio Negro;1;1;4;4;4;1;0;1;1;1;4;2;2;1;1;0;0;1;0;29
130370 Santo Antônio do Içá;2;1;4;3;4;6;2;1;4;3;5;3;0;0;0;0;0;0;0;38
130380 São Gabriel da Cachoeira;1;8;19;18;19;14;14;24;23;23;14;19;6;9;3;1;1;3;0;219
130390 São Paulo de Olivença;1;5;7;10;10;6;7;10;13;1;5;6;5;15;5;3;1;2;0;112
130395 São Sebastião do Uatumã;0;1;2;0;2;1;2;2;0;2;1;0;1;0;0;0;0;0;0;14
130400 Silves;0;0;2;3;2;1;4;1;0;0;2;1;2;2;0;0;0;0;0;20
130406 Tabatinga;3;24;25;33;45;25;34;37;37;31;19;23;17;13;7;3;4;2;0;382
130410 Tapauá;0;3;3;5;2;5;7;4;2;1;1;3;1;1;1;1;0;1;0;41
130420 Tefé;7;31;42;64;63;61;55;69;69;56;48;49;37;30;24;15;3;11;0;734
130423 Tonantins;0;4;8;3;3;4;5;1;1;4;3;0;3;2;0;0;0;1;0;42
130426 Uarini;0;3;4;5;3;5;4;2;0;5;3;1;5;1;0;1;0;0;0;42
130430 Urucará;0;3;6;6;7;11;18;4;7;4;10;4;7;4;1;0;2;4;0;98
130440 Urucurituba;0;1;4;3;2;0;1;5;5;2;1;1;0;3;1;1;0;1;0;31
130000 Município ignorado - AM;0;0;2;9;8;20;11;1;6;3;15;7;9;9;6;2;0;0;0;108
140005 Alto Alegre;0;4;7;2;4;7;5;6;7;3;5;8;4;3;0;0;1;2;0;68
140002 Amajari;1;3;2;1;1;1;2;7;5;0;0;0;1;3;0;0;0;2;0;29
140010 Boa Vista;375;2.216;2.602;2.114;1.904;1.870;2.363;3.124;2.788;2.102;1.785;1.849;1.479;1.187;763;457;344;455;0;29.777
140015 Bonfim;0;2;2;2;1;1;1;4;2;1;2;0;1;1;1;0;0;0;0;21
140017 Cantá;0;4;7;7;8;11;6;8;7;9;5;11;6;2;3;0;0;0;0;94
140020 Caracaraí;0;7;14;10;5;3;11;17;16;9;6;9;9;8;6;1;1;1;0;133
140023 Caroebe;1;0;4;2;0;0;2;2;3;4;0;1;0;0;0;0;0;0;0;19
140028 Iracema;0;1;4;3;3;2;1;6;4;1;0;4;1;1;2;0;0;0;0;33
140030 Mucajaí;0;9;6;5;9;7;5;9;7;5;12;4;8;10;1;3;2;1;0;103
140040 Normandia;0;1;0;1;1;2;2;4;0;0;0;2;0;0;0;0;0;0;0;13
140045 Pacaraima;0;4;11;2;6;3;5;8;7;6;6;4;3;4;2;3;0;0;0;74
140047 Rorainópolis;2;9;9;12;5;15;24;17;19;9;6;3;5;3;1;2;1;0;0;142
140050 São João da Baliza;0;3;6;7;3;4;2;2;9;7;5;1;2;3;3;0;0;0;0;57
140060 São Luiz;0;4;6;6;3;8;5;3;7;2;6;4;1;3;2;1;1;3;0;65
140000 Município ignorado - RR;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
150010 Abaetetuba;111;636;672;652;600;664;785;978;899;642;499;367;251;159;111;61;39;51;0;8.177
150013 Abel Figueiredo;0;3;3;4;7;7;0;8;10;6;4;8;6;1;2;4;1;1;0;75
150020 Acará;1;30;34;30;23;155;187;150;113;83;46;29;6;5;6;4;4;0;0;906
150030 Afuá;0;3;6;12;9;3;3;11;8;4;4;1;2;4;3;2;2;0;0;77
150034 Água Azul do Norte;2;4;6;3;1;2;8;6;9;3;3;3;2;2;0;0;1;0;0;55
150040 Alenquer;4;21;32;46;42;38;34;32;31;34;18;32;34;34;18;12;9;10;0;481
150050 Almeirim;18;99;169;214;288;202;164;206;187;212;167;152;105;58;34;6;9;2;0;2.292
150060 Altamira;51;225;335;324;334;438;496;535;488;364;270;240;220;189;137;75;39;52;0;4.812
150070 Anajás;0;5;7;7;4;4;10;6;9;8;5;1;1;3;3;0;0;0;0;73
150080 Ananindeua;2.084;9.559;9.722;7.214;6.279;6.799;8.876;10.049;9.302;6.809;5.301;4.416;3.385;2.658;1.621;992;603;814;0;96.483
150085 Anapu;0;4;5;2;10;50;62;40;38;15;13;8;8;2;0;0;0;0;0;257
150090 Augusto Corrêa;1;14;25;15;8;15;18;9;13;11;5;2;4;4;5;1;1;0;0;151
150095 Aurora do Pará;2;16;17;15;11;18;14;30;24;7;7;4;2;3;1;0;1;2;0;174
150100 Aveiro;2;2;5;8;6;4;1;4;10;10;4;5;2;5;3;1;1;2;0;75
150110 Bagre;0;0;3;5;6;5;5;3;4;4;2;4;2;2;2;0;0;0;0;47
150120 Baião;2;12;12;5;5;7;15;12;6;10;4;3;3;1;4;1;0;0;0;102
150125 Bannach;0;3;0;0;0;0;1;2;2;1;1;0;0;0;1;2;0;0;0;13
150130 Barcarena;249;1.276;1.572;1.331;1.254;1.583;1.985;2.192;1.892;1.311;1.044;776;596;263;109;41;20;27;0;17.521
150140 Belém;6.752;32.927;35.124;28.700;26.820;30.417;37.295;41.686;40.039;30.889;25.888;23.134;19.664;15.634;11.766;8.461;6.305;9.233;2;430.736
150145 Belterra;2;17;19;25;14;9;14;13;18;11;8;8;10;10;7;3;4;5;0;197
150150 Benevides;81;320;357;323;321;297;358;430;404;286;200;171;139;102;48;31;32;36;0;3.936
150157 Bom Jesus do Tocantins;0;4;11;12;9;11;14;12;10;7;13;7;7;5;3;4;4;4;0;137
150160 Bonito;3;13;18;17;8;13;28;30;15;4;5;0;3;3;2;0;0;0;0;162
150170 Bragança;21;135;158;122;97;126;133;202;184;164;126;94;97;104;55;34;26;21;0;1.899
150172 Brasil Novo;0;1;12;11;7;5;5;16;18;6;8;7;6;4;5;6;2;1;0;120
150175 Brejo Grande do Araguaia;0;3;5;1;3;3;4;8;5;1;1;2;2;1;1;0;0;0;0;40
150178 Breu Branco;9;59;101;95;92;97;65;79;89;79;59;61;40;31;6;4;4;5;0;975
150180 Breves;6;49;51;62;64;62;69;80;65;67;48;43;46;45;32;11;8;12;0;820
150190 Bujaru;1;9;13;8;10;43;50;48;49;33;15;7;3;3;2;2;4;2;0;302
150200 Cachoeira do Arari;0;8;7;7;5;3;2;6;10;3;6;4;2;1;0;1;1;3;0;69
150195 Cachoeira do Piriá;0;2;3;4;1;1;5;2;2;0;1;1;0;0;0;1;0;1;0;24
150210 Cametá;4;54;80;77;73;61;76;107;107;70;49;38;47;46;38;28;10;12;0;977
150215 Canaã dos Carajás;343;1.704;1.848;1.469;1.088;2.055;2.418;2.479;1.773;1.100;605;393;192;72;22;12;4;2;0;17.579
150220 Capanema;50;235;276;237;271;272;374;407;444;341;288;258;218;138;83;53;54;40;0;4.039
150230 Capitão Poço;6;45;53;39;52;40;71;78;58;46;40;29;25;19;22;9;4;5;0;641
150240 Castanhal;208;1.187;1.268;964;876;1.200;1.772;1.799;1.521;1.062;769;724;546;409;222;164;125;131;0;14.947
150250 Chaves;2;4;4;5;4;4;3;3;6;5;2;2;5;1;3;0;0;0;0;53
150260 Colares;0;5;5;7;2;0;3;3;3;1;3;2;1;3;4;1;0;0;0;43
150270 Conceição do Araguaia;10;53;76;83;80;90;100;80;96;68;86;99;82;66;34;22;10;12;0;1.147
150275 Concórdia do Pará;1;25;21;37;15;58;141;125;98;49;35;22;9;9;4;1;2;3;0;655
150276 Cumaru do Norte;0;0;0;0;0;1;4;2;0;0;0;1;2;0;0;0;0;0;0;10
150277 Curionópolis;57;275;301;235;159;259;363;374;212;117;52;27;13;5;1;4;1;0;0;2.455
150280 Curralinho;0;2;6;10;1;0;5;6;7;2;3;0;1;2;0;0;0;0;0;45
150285 Curuá;0;6;8;2;3;0;3;8;2;2;4;0;2;0;0;0;0;0;0;40
150290 Curuçá;0;8;21;11;11;12;13;14;21;12;10;5;11;7;4;11;3;3;0;177
150293 Dom Eliseu;21;117;96;83;75;93;151;140;145;106;103;65;51;23;14;6;2;5;0;1.296
150295 Eldorado dos Carajás;6;19;23;20;9;16;42;49;23;17;9;9;9;1;1;0;1;0;0;254
150300 Faro;1;3;4;3;5;5;7;2;5;3;2;4;1;5;0;0;0;2;0;52
150304 Floresta do Araguaia;1;5;4;4;10;5;11;11;8;6;4;2;0;0;0;0;0;0;0;71
150307 Garrafão do Norte;0;4;2;3;4;8;7;6;9;8;4;3;3;2;1;0;0;0;0;64
150309 Goianésia do Pará;1;15;14;7;5;10;23;26;16;5;4;6;2;1;0;0;0;0;0;135
150310 Gurupá;2;3;3;6;5;3;2;8;5;4;4;6;5;1;2;2;1;1;0;63
150320 Igarapé-Açu;4;21;20;31;31;55;82;89;56;44;39;23;28;23;19;5;6;8;0;584
150330 Igarapé-Miri;8;34;64;41;52;41;61;63;50;50;36;24;15;16;7;4;8;7;0;581
150340 Inhangapi;2;4;3;2;2;5;18;12;13;7;3;3;1;2;1;0;0;0;0;78
150345 Ipixuna do Pará;4;18;23;24;30;31;43;42;33;35;13;7;6;2;1;2;1;0;0;315
150350 Irituia;6;48;48;47;31;36;47;40;43;23;13;12;8;8;4;2;2;0;0;418
150360 Itaituba;36;146;177;156;142;205;267;274;225;140;124;111;88;78;43;23;16;15;0;2.266
150370 Itupiranga;4;25;24;19;25;29;41;41;27;26;13;12;8;7;2;1;1;4;0;309
150375 Jacareacanga;1;4;4;7;6;7;5;7;7;7;5;2;0;0;1;0;1;1;0;65
150380 Jacundá;2;27;21;20;26;36;56;45;44;32;28;32;19;15;7;2;3;4;0;419
150390 Juruti;9;59;78;54;38;54;71;96;74;56;37;21;9;5;3;0;0;0;0;664
150400 Limoeiro do Ajuru;0;5;2;1;1;2;4;2;4;5;6;1;3;1;1;0;0;0;0;38
150405 Mãe do Rio;15;49;53;53;44;51;90;80;80;50;28;27;20;13;12;8;1;3;0;677
150410 Magalhães Barata;0;0;4;3;2;5;6;3;6;2;1;2;2;1;1;1;0;0;0;39
150420 Marabá;458;2.205;2.302;1.726;1.355;2.248;3.419;4.078;3.052;2.083;1.381;1.239;750;512;306;141;93;124;0;27.472
150430 Maracanã;1;6;12;9;9;10;7;8;10;4;3;6;9;2;3;1;2;0;0;102
150440 Marapanim;2;10;10;12;4;4;5;15;7;8;7;6;3;9;7;4;3;3;0;119
150442 Marituba;166;732;764;546;451;623;738;868;704;491;344;253;174;100;54;35;30;30;0;7.103
150445 Medicilândia;1;8;15;7;7;13;18;14;12;6;3;11;10;1;2;3;2;0;0;133
150450 Melgaço;0;1;3;3;1;1;1;1;2;0;2;2;1;1;0;0;0;0;0;19
150460 Mocajuba;1;10;8;15;15;13;17;16;18;14;10;7;3;5;1;2;3;0;0;158
150470 Moju;14;84;107;93;65;172;306;275;245;177;125;66;42;20;11;4;2;2;0;1.810
150480 Monte Alegre;1;26;36;43;35;37;37;49;28;39;35;33;26;33;35;16;15;6;0;530
150490 Muaná;1;9;15;14;22;18;14;11;20;21;10;10;6;2;2;4;2;5;0;186
150495 Nova Esperança do Piriá;3;4;5;1;1;3;7;5;5;3;2;0;1;2;0;1;1;0;0;44
150497 Nova Ipixuna;1;7;6;5;3;8;7;9;12;7;3;2;3;0;0;0;1;0;0;74
150500 Nova Timboteua;1;19;14;12;8;14;12;13;7;13;5;7;8;8;3;2;2;4;0;152
150503 Novo Progresso;7;21;22;13;14;36;47;54;25;17;17;12;13;4;4;0;0;0;0;306
150506 Novo Repartimento;2;11;12;8;11;16;23;32;19;8;7;2;3;6;2;4;0;0;0;166
150510 Óbidos;6;27;41;42;39;40;28;56;97;53;48;47;37;32;19;4;12;6;0;634
150520 Oeiras do Pará;1;8;15;6;16;13;11;11;7;8;9;9;5;2;2;1;1;1;0;126
150530 Oriximiná;59;380;598;638;531;403;408;632;724;531;380;327;227;107;38;24;8;4;0;6.019
150540 Ourém;0;8;14;7;10;12;8;5;8;15;13;12;7;6;1;2;0;0;0;128
150543 Ourilândia do Norte;51;366;409;380;296;347;431;583;471;305;172;94;48;28;6;5;2;1;0;3.995
150548 Pacajá;0;7;6;7;12;11;20;11;11;13;6;4;4;4;0;2;0;1;0;119
150549 Palestina do Pará;0;2;2;5;2;2;2;3;2;3;0;3;6;2;1;0;0;0;0;35
150550 Paragominas;184;817;1.011;797;681;852;1.325;1.615;1.187;757;496;363;236;141;102;53;35;34;0;10.686
150553 Parauapebas;1.275;6.545;7.394;6.302;5.228;6.547;9.237;10.897;8.064;4.439;2.696;1.866;1.018;447;178;47;43;36;0;72.259
150555 Pau D'Arco;0;0;2;1;1;1;2;3;3;0;2;1;0;0;1;0;0;0;0;17
150560 Peixe-Boi;0;4;4;2;4;2;4;6;3;0;7;1;3;1;1;0;2;1;0;45
150563 Piçarra;1;3;0;0;1;2;4;3;2;3;0;2;0;0;1;1;0;0;0;23
150565 Placas;2;0;2;1;1;2;3;2;4;0;1;2;1;1;0;0;1;0;0;23
150570 Ponta de Pedras;0;14;12;10;18;10;13;13;13;9;11;6;5;7;6;3;2;4;0;156
150580 Portel;2;11;13;13;12;15;16;14;16;9;7;10;12;9;4;5;1;2;0;171
150590 Porto de Moz;3;4;11;4;7;6;14;7;7;4;9;2;1;2;0;3;2;0;0;86
150600 Prainha;0;1;2;0;7;6;2;5;7;3;5;3;1;0;0;3;0;1;0;46
150610 Primavera;2;13;17;5;7;19;34;21;17;13;6;6;10;1;7;2;2;0;0;182
150611 Quatipuru;0;2;10;4;1;3;11;10;8;5;2;4;1;4;1;0;1;0;0;67
150613 Redenção;70;289;314;256;277;468;618;677;560;400;309;276;178;93;39;33;18;19;0;4.894
150616 Rio Maria;8;39;30;25;35;67;92;73;76;41;30;26;17;16;11;3;4;2;0;595
150618 Rondon do Pará;15;83;75;90;91;95;111;122;127;122;148;115;64;47;42;23;17;14;0;1.401
150619 Rurópolis;2;6;9;10;10;9;12;19;21;5;5;8;14;11;8;2;0;0;0;151
150620 Salinópolis;5;31;40;33;36;45;64;92;78;37;31;26;25;24;23;9;13;7;0;619
150630 Salvaterra;1;9;15;23;14;11;14;16;19;18;10;9;11;7;5;5;3;2;0;192
150635 Santa Bárbara do Pará;11;62;76;41;38;42;70;69;57;32;35;24;19;14;8;7;4;5;0;614
150640 Santa Cruz do Arari;0;3;9;2;2;0;5;6;3;3;4;1;1;0;0;0;1;0;0;40
150650 Santa Isabel do Pará;31;150;180;140;145;139;163;172;191;136;124;93;68;51;43;19;15;14;0;1.874
